DATE,LCEAMN01USQ659S
1960-01-01,4.05186385737442
1960-04-01,2.72000000000002
1960-07-01,3.54838709677418
1960-10-01,3.35463258785943
1961-01-01,1.40186915887846
1961-04-01,2.49221183800622
1961-07-01,2.49221183800625
1961-10-01,3.70942812982997
1962-01-01,4.30107526881722
1962-04-01,3.49544072948326
1962-07-01,3.1914893617021
1962-10-01,2.68256333830104
1963-01-01,2.20913107511046
1963-04-01,2.79001468428782
1963-07-01,3.09278350515464
1963-10-01,3.19303338171264
1964-01-01,3.02593659942362
1964-04-01,3.00000000000001
1964-07-01,3.42857142857142
1964-10-01,2.25035161744022
1965-01-01,3.49650349650351
1965-04-01,3.32871012482662
1965-07-01,3.03867403314919
1965-10-01,4.40165061898214
1966-01-01,3.64864864864864
1966-04-01,4.02684563758388
1966-07-01,4.42359249329757
1966-10-01,4.74308300395255
1967-01-01,4.30247718383314
1967-04-01,4.12903225806453
1967-07-01,4.3645699614891
1967-10-01,4.02515723270441
1968-01-01,6.12499999999997
1968-04-01,6.69144981412639
1968-07-01,6.64206642066421
1968-10-01,7.49697702539298
1969-01-01,6.12485276796231
1969-04-01,5.9233449477352
1969-07-01,6.92041522491351
1969-10-01,6.1867266591676
1970-01-01,5.66037735849058
1970-04-01,5.81140350877194
1970-07-01,5.71736785329016
1970-10-01,4.23728813559321
1971-01-01,6.5126050420168
1971-04-01,6.6321243523316
1971-07-01,6.32653061224491
1971-10-01,7.11382113821138
1972-01-01,6.60749506903355
1972-04-01,6.89990281827014
1972-07-01,7.19769673704413
1972-10-01,8.15939278937384
1973-01-01,7.40055504162811
1973-04-01,7.1818181818182
1973-07-01,7.52014324082364
1973-10-01,7.10526315789474
1974-01-01,6.63221360895778
1974-04-01,7.80322307039863
1974-07-01,9.32556203164031
1974-10-01,10.4832104832105
1975-01-01,11.0662358642973
1975-04-01,9.83477576711251
1975-07-01,8.45392231530844
1975-10-01,7.41289844329133
1976-01-01,7.78181818181818
1976-04-01,8.09455587392551
1976-07-01,8.63764044943822
1976-10-01,8.5576259489303
1977-01-01,8.70445344129554
1977-04-01,9.21139827700464
1977-07-01,8.85585003232063
1977-10-01,9.09090909090907
1978-01-01,9.0626939788951
1978-04-01,8.61650485436894
1978-07-01,8.66983372921614
1978-10-01,9.38228438228439
1979-01-01,9.33409220261811
1979-04-01,8.99441340782121
1979-07-01,8.68852459016393
1979-10-01,7.88492274906766
1980-01-01,7.49609578344612
1980-04-01,8.09841107124552
1980-07-01,9.10005027652086
1980-10-01,10.4691358024691
1981-01-01,10.7990314769976
1981-04-01,11.0478899952584
1981-07-01,10.0921658986175
1981-10-01,8.31470719713904
1982-01-01,7.99825174825177
1982-04-01,6.66097352690008
1982-07-01,5.8183340309753
1982-10-01,4.7874535699546
1983-01-01,4.00647511129095
1983-04-01,3.72297838270619
1983-07-01,3.56012658227848
1983-10-01,4.41118550610478
1984-01-01,4.24124513618678
1984-04-01,4.20686993438826
1984-07-01,4.12528647822766
1984-10-01,3.96076952093549
1985-01-01,4.06868234415825
1985-04-01,4.1111111111111
1985-07-01,3.77842993396918
1985-10-01,3.41074020319303
1986-01-01,2.8335724533716
1986-04-01,2.20562077552471
1986-07-01,1.83810533757512
1986-10-01,1.47368421052631
1987-01-01,1.39518660620859
1987-04-01,1.56630699617128
1987-07-01,2.01318986463034
1987-10-01,2.35131396957124
1988-01-01,2.40798073615411
1988-04-01,2.98149417409184
1988-07-01,2.89214018373598
1988-10-01,3.20945945945945
1989-01-01,3.39267719180382
1989-04-01,2.8618968386023
1989-07-01,3.04232804232802
1989-10-01,2.65139116202944
1990-01-01,3.50877192982456
1990-04-01,4.17340666450988
1990-07-01,4.204107830552
1990-10-01,4.40051020408166
1991-01-01,3.42121782799752
1991-04-01,3.32298136645962
1991-07-01,3.3877425315676
1991-10-01,3.17654245571168
1992-01-01,2.76176024279208
1992-04-01,2.67508265704841
1992-07-01,2.29371462615432
1992-10-01,2.04262877442273
1993-01-01,2.51033668044892
1993-04-01,2.37119437939108
1993-07-01,2.41700640652298
1993-10-01,2.98810559907166
1994-01-01,3.1691155286661
1994-04-01,2.80240205890764
1994-07-01,2.81489906170033
1994-10-01,2.61971830985914
1995-01-01,2.42948896956156
1995-04-01,2.47566063977747
1995-07-01,2.87610619469028
1995-10-01,2.60774087290695
1996-01-01,2.67175572519085
1996-04-01,3.58306188925081
1996-07-01,3.41397849462367
1996-10-01,3.42429106474049
1997-01-01,3.61125862984598
1997-04-01,2.69916142557652
1997-07-01,2.54743956329604
1997-10-01,3.38851526125195
1998-01-01,2.92157867760123
1998-04-01,2.78132176575658
1998-07-01,2.20532319391634
1998-10-01,1.62621966474856
1999-01-01,1.86752988047808
1999-04-01,2.75571002979145
1999-07-01,3.76984126984131
1999-10-01,3.54505169867061
2000-01-01,3.73991689073577
2000-04-01,3.28581783039384
2000-07-01,2.98757170172083
2000-10-01,3.42368045649073
2001-01-01,2.75683317624881
2001-04-01,3.06432748538009
2001-07-01,3.41146437688558
2001-10-01,3.12643678160919
2002-01-01,3.8981884888787
2002-04-01,3.67680435769407
2002-07-01,3.25403949730701
2002-10-01,3.58894337940257
2003-01-01,3.39880821010814
2003-04-01,2.97723292469351
2003-07-01,2.95587915670507
2003-10-01,2.53927264902088
2004-01-01,2.32657417289223
2004-04-01,2.52976190476191
2004-07-01,2.61769052142705
2004-10-01,2.64428121720882
2005-01-01,2.7534418022528
2005-04-01,2.69541778975743
2005-07-01,2.42748405677842
2005-10-01,2.33081169494991
2006-01-01,1.74583840844498
2006-04-01,1.55461336563698
2006-07-01,1.30548302872065
2006-10-01,1.53846153846155
2007-01-01,2.07501995211493
2007-04-01,2.82306163021868
2007-07-01,3.11260904044409
2007-10-01,2.79417552144823
2008-01-01,3.01016419077403
2008-04-01,2.61020881670532
2008-07-01,2.7302441838108
2008-10-01,3.08192955589586
2009-01-01,2.90322580645161
2009-04-01,2.65686828716789
2009-07-01,2.99457233763802
2009-10-01,2.54410399257197
2010-01-01,2.10215747741103
2010-04-01,2.18428781204112
2010-07-01,1.76267490459749
2010-10-01,1.91959434987324
2011-01-01,2.40202275600506
2011-04-01,1.90407760014371
2011-07-01,1.32142857142858
2011-10-01,1.17270788912579
2012-01-01,0.59964726631394
2012-04-01,0.846113167636169
2012-07-01,0.845964046528032
2012-10-01,0.720056199508245
2013-01-01,0.964235624123415
2013-04-01,0.926411466526838
2013-07-01,1.18839566585109
2013-10-01,1.48212728857892
2014-01-01,1.54540718874805
2014-04-01,1.36820228611014
2014-07-01,1.51986183074267
2014-10-01,1.25429553264604
2015-01-01,1.14569083447332
2015-04-01,1.75978130873057
2015-07-01,2.07553589656346
2015-10-01,2.18903784150687
2016-01-01,2.48520710059172
2016-04-01,2.87105439892545
2016-07-01,2.66666666666666
2016-10-01,2.65692460976421
2017-01-01,2.19399538106236
2017-04-01,1.87693814264732
2017-07-01,2.07792207792207
2017-10-01,2.55580718214169
2018-01-01,3.32526230831316
2018-04-01,3.14001922460748
2018-07-01,2.76717557251909
2018-10-01,2.99684542586751
2019-01-01,2.65583502577721
2019-04-01,2.73376825100966
2019-07-01,3.17239244815847
2019-10-01,2.80245022970904
2020-01-01,2.78496423679806
