DATE,QUSPAM770A
1952-01-01,53.6
1952-04-01,54.8
1952-07-01,55.6
1952-10-01,56.7
1953-01-01,56.6
1953-04-01,57.1
1953-07-01,57.3
1953-10-01,58.0
1954-01-01,58.4
1954-04-01,59.9
1954-07-01,61.3
1954-10-01,62.5
1955-01-01,62.6
1955-04-01,63.8
1955-07-01,64.2
1955-10-01,65.2
1956-01-01,65.3
1956-04-01,66.5
1956-07-01,67.1
1956-10-01,67.9
1957-01-01,67.7
1957-04-01,68.7
1957-07-01,68.8
1957-10-01,69.5
1958-01-01,69.9
1958-04-01,71.1
1958-07-01,72.0
1958-10-01,73.3
1959-01-01,72.6
1959-04-01,73.2
1959-07-01,73.5
1959-10-01,74.6
1960-01-01,74.2
1960-04-01,75.7
1960-07-01,76.1
1960-10-01,77.5
1961-01-01,77.9
1961-04-01,79.2
1961-07-01,79.7
1961-10-01,80.5
1962-01-01,79.5
1962-04-01,80.1
1962-07-01,80.3
1962-10-01,81.6
1963-01-01,81.6
1963-04-01,83.1
1963-07-01,83.6
1963-10-01,84.8
1964-01-01,84.3
1964-04-01,85.2
1964-07-01,85.3
1964-10-01,86.4
1965-01-01,86.3
1965-04-01,87.3
1965-07-01,87.3
1965-10-01,87.5
1966-01-01,86.8
1966-04-01,87.5
1966-07-01,86.8
1966-10-01,86.9
1967-01-01,86.5
1967-04-01,87.5
1967-07-01,87.7
1967-10-01,89.9
1968-01-01,88.3
1968-04-01,88.9
1968-07-01,88.5
1968-10-01,89.2
1969-01-01,88.2
1969-04-01,89.3
1969-07-01,89.0
1969-10-01,89.8
1970-01-01,89.0
1970-04-01,90.0
1970-07-01,90.4
1970-10-01,91.2
1971-01-01,90.7
1971-04-01,91.6
1971-07-01,91.9
1971-10-01,92.3
1972-01-01,92.2
1972-04-01,93.4
1972-07-01,93.5
1972-10-01,94.3
1973-01-01,94.3
1973-04-01,95.2
1973-07-01,95.7
1973-10-01,95.7
1974-01-01,95.6
1974-04-01,97.2
1974-07-01,97.6
1974-10-01,97.8
1975-01-01,96.4
1975-04-01,96.3
1975-07-01,95.7
1975-10-01,95.4
1976-01-01,93.8
1976-04-01,93.8
1976-07-01,93.8
1976-10-01,94.4
1977-01-01,94.5
1977-04-01,95.7
1977-07-01,96.0
1977-10-01,96.9
1978-01-01,96.9
1978-04-01,98.0
1978-07-01,98.3
1978-10-01,98.3
1979-01-01,97.6
1979-04-01,99.0
1979-07-01,99.9
1979-10-01,100.5
1980-01-01,100.6
1980-04-01,100.2
1980-07-01,100.7
1980-10-01,101.3
1981-01-01,99.9
1981-04-01,100.1
1981-07-01,99.4
1981-10-01,99.3
1982-01-01,99.6
1982-04-01,100.5
1982-07-01,101.1
1982-10-01,101.8
1983-01-01,101.6
1983-04-01,102.4
1983-07-01,102.8
1983-10-01,103.4
1984-01-01,103.1
1984-04-01,104.3
1984-07-01,104.8
1984-10-01,106.5
1985-01-01,107.4
1985-04-01,109.1
1985-07-01,110.3
1985-10-01,113.0
1986-01-01,113.1
1986-04-01,114.8
1986-07-01,116.7
1986-10-01,119.2
1987-01-01,119.2
1987-04-01,120.8
1987-07-01,121.7
1987-10-01,121.8
1988-01-01,122.0
1988-04-01,123.0
1988-07-01,123.3
1988-10-01,124.0
1989-01-01,123.5
1989-04-01,124.1
1989-07-01,123.8
1989-10-01,124.3
1990-01-01,124.5
1990-04-01,124.5
1990-07-01,124.2
1990-10-01,124.1
1991-01-01,123.4
1991-04-01,123.7
1991-07-01,122.8
1991-10-01,122.1
1992-01-01,121.0
1992-04-01,120.0
1992-07-01,119.2
1992-10-01,118.3
1993-01-01,117.2
1993-04-01,117.3
1993-07-01,117.5
1993-10-01,117.9
1994-01-01,117.7
1994-04-01,117.8
1994-07-01,117.7
1994-10-01,118.2
1995-01-01,118.1
1995-04-01,119.0
1995-07-01,119.5
1995-10-01,120.3
1996-01-01,120.6
1996-04-01,121.1
1996-07-01,121.2
1996-10-01,121.0
1997-01-01,120.7
1997-04-01,121.2
1997-07-01,121.9
1997-10-01,122.3
1998-01-01,122.9
1998-04-01,124.9
1998-07-01,125.8
1998-10-01,127.1
1999-01-01,128.0
1999-04-01,129.0
1999-07-01,130.7
1999-10-01,131.6
2000-01-01,132.7
2000-04-01,133.6
2000-07-01,134.1
2000-10-01,134.7
2001-01-01,134.1
2001-04-01,136.0
2001-07-01,138.1
2001-10-01,139.1
2002-01-01,139.6
2002-04-01,140.7
2002-07-01,141.6
2002-10-01,143.0
2003-01-01,143.5
2003-04-01,145.8
2003-07-01,146.6
2003-10-01,146.6
2004-01-01,147.2
2004-04-01,148.0
2004-07-01,148.9
2004-10-01,150.6
2005-01-01,150.7
2005-04-01,152.2
2005-07-01,153.5
2005-10-01,154.8
2006-01-01,156.4
2006-04-01,158.1
2006-07-01,159.5
2006-10-01,161.3
2007-01-01,162.4
2007-04-01,165.0
2007-07-01,166.9
2007-10-01,168.4
2008-01-01,169.3
2008-04-01,169.0
2008-07-01,170.0
2008-10-01,168.4
2009-01-01,167.8
2009-04-01,168.4
2009-07-01,168.6
2009-10-01,166.8
2010-01-01,164.8
2010-04-01,162.2
2010-07-01,160.4
2010-10-01,158.4
2011-01-01,156.8
2011-04-01,155.4
2011-07-01,154.2
2011-10-01,153.5
2012-01-01,151.9
2012-04-01,150.7
2012-07-01,150.4
2012-10-01,150.4
2013-01-01,149.3
2013-04-01,149.1
2013-07-01,149.3
2013-10-01,148.7
2014-01-01,148.4
2014-04-01,148.3
2014-07-01,148.1
2014-10-01,148.0
2015-01-01,147.3
2015-04-01,147.9
2015-07-01,147.8
2015-10-01,147.8
2016-01-01,148.4
2016-04-01,149.1
2016-07-01,150.2
2016-10-01,149.8
2017-01-01,150.0
2017-04-01,150.6
2017-07-01,150.7
2017-10-01,151.3
2018-01-01,150.4
2018-04-01,151.1
2018-07-01,150.5
2018-10-01,150.3
2019-01-01,150.0
2019-04-01,150.2
2019-07-01,150.5
2019-10-01,150.3
