DATE,TDSAMRIAOAICN
2000-10-01,214617.0
2001-01-01,219981.0
2001-04-01,227000
2001-07-01,237932.0
2001-10-01,251016.0
2002-01-01,276747.0
2002-04-01,298811
2002-07-01,341092.0
2002-10-01,353099
2003-01-01,348333
2003-04-01,391316.0
2003-07-01,433038.0
2003-10-01,459613.0
2004-01-01,500866
2004-04-01,544349.0
2004-07-01,571819.0
2004-10-01,637051.0
2005-01-01,694505
2005-04-01,755527.0
2005-07-01,822092.0
2005-10-01,912252.0
2006-01-01,1024955.0
2006-04-01,1065600.0
2006-07-01,1134923.0
2006-10-01,1198344.0
2007-01-01,1337255.0
2007-04-01,1382638.0
2007-07-01,1544649
2007-10-01,1704543.0
2008-01-01,1904431.0
2008-04-01,2020562.0
2008-07-01,2129146.0
2008-10-01,2228006.0
2009-01-01,2205793.0
2009-04-01,2322734.0
2009-07-01,2428553.0
2009-10-01,2577903.0
2010-01-01,2659168.0
2010-04-01,2859221.0
2010-07-01,3001778.0
2010-10-01,3065344.0
2011-01-01,3076298.0
2011-04-01,3183333.0
2011-07-01,3255765.0
2011-10-01,3528444.0
2012-01-01,3602736.0
2012-04-01,3776020.0
2012-07-01,4084917.0
2012-10-01,4294052.0
2013-01-01,4465396.0
2013-04-01,4632503.0
2013-07-01,4770969.0
2013-10-01,4960846.0
2014-01-01,4976605.0
2014-04-01,5250035.0
2014-07-01,5560069.0
2014-10-01,5835345.0
2015-01-01,6110298.0
2015-04-01,6591932.0
2015-07-01,7280906.0
2015-10-01,7752560.0
2016-01-01,8307713.0
2016-04-01,8855126.0
2016-07-01,9398673.0
2016-10-01,9408768.0
2017-01-01,9861361.0
2017-04-01,10366478.0
2017-07-01,11158023.0
2017-10-01,11756965.0
2018-01-01,12498917.0
2018-04-01,12333160.0
2018-07-01,12415889.0
2018-10-01,12906933.0
2019-01-01,13757004.0
2019-04-01,13928767.0
2019-07-01,13874352.0
2019-10-01,14725913.0
